campaign_id,treatment_customers,control_customers,treatment_cvr,control_cvr,absolute_lift,relative_lift,ci95_low,ci95_high,incremental_conversions,incremental_revenue,spend,incremental_roas,campaign_name,channel
CMP001,4836,1164,0.05190239867659222,0.03436426116838488,0.01753813750820734,0.5103598014888335,0.00534770904344193,0.02972856597297275,84.8144329896907,8306.21532878794,23062.1003,0.36016734038694387,Paid Search Wave 1,paid_search
CMP002,4787,1213,0.05431376645080426,0.033800494641384994,0.020513271809419267,0.606892651337209,0.008486280619553603,0.03254026299928493,98.19703215169004,10297.835895142369,16411.4517,0.6274786705884384,Paid Social Wave 1,paid_social
CMP003,4783,1217,0.06627639556763537,0.02875924404272802,0.03751715152490735,1.3045249544517785,0.02577514305330976,0.049259159996504945,179.44453574363186,18219.711302914286,15534.3695,1.1728645506284812,Email Wave 1,email
CMP004,4839,1161,0.05373010952676173,0.03962101636520241,0.014109093161559318,0.35610124262109494,0.0012145186874016733,0.02700366763571696,68.27390180878554,6945.758745179886,19824.1598,0.3503683795557321,Display Wave 1,display
CMP005,4788,1212,0.05743525480367585,0.038778877887788776,0.018656376915887077,0.48109635791606675,0.005944797456031471,0.03136795637574268,89.32673267326733,9727.7591459946,18149.5177,0.5359789338090565,Paid Search Wave 2,paid_search
CMP006,4777,1223,0.05275277370734771,0.04660670482420278,0.00614606888314493,0.13187091656291663,-0.007261379661568002,0.01955351742785786,29.35977105478333,2862.048735934277,22395.8304,0.12779382076113047,Paid Social Wave 2,paid_social
CMP007,4831,1169,0.06085696543158766,0.03507271171941831,0.02578425371216935,0.7351656729152676,0.013267753152693938,0.03830075427164477,124.56372968349014,13596.224305907133,14952.453899999999,0.9092971894002719,Email Wave 2,email
CMP008,4766,1234,0.04678976080570709,0.04213938411669368,0.0046503766890134135,0.110357016043126,-0.008062102445742386,0.017362855823769213,22.16369529983793,2336.3228281646334,30637.081599999998,0.07625800847051416,Display Wave 2,display
CMP009,4823,1177,0.058677171884719055,0.03228547153780799,0.026391700346911066,0.8174481923240612,0.0143099340453211,0.038473466648501035,127.28717077315207,13321.340057311663,27171.828,0.49026293178772007,Paid Search Wave 3,paid_search
CMP010,4779,1221,0.05252144800167399,0.036855036855036855,0.015666411146637138,0.42508195577875435,0.003350388394587898,0.027982433898686376,74.86977886977888,7912.438082559199,27680.3639,0.2858502189907698,Paid Social Wave 3,paid_social
CMP011,4753,1247,0.07237534188933305,0.038492381716118684,0.03388296017321436,0.8802510694999648,0.020910629111099942,0.046855291235328785,161.04570970328786,16780.897409223995,15746.3137,1.0657032324476041,Email Wave 3,email
CMP012,4822,1178,0.046661136457901285,0.029711375212224108,0.016949761245677177,0.5704805356402204,0.005572016868753112,0.028327505622601244,81.73174872665535,8107.062969251086,26333.451100000002,0.30786177392643704,Display Wave 3,display
