campaign_id,reached_customers,impressions,clicks,conversions,revenue,spend,ctr,conversion_rate,cpa,roas,campaign_name,channel,planned_budget
CMP001,4836,15756,1190,251,24581.43,23062.1003,0.07552678344757553,0.05190239867659222,91.88087768924302,1.0658799363560136,Paid Search Wave 1,paid_search,23665.0
CMP002,4787,15517,553,260,27265.97,16411.4517,0.03563833215183347,0.05431376645080426,63.120968076923084,1.6613990339440843,Paid Social Wave 1,paid_social,17776.0
CMP003,4783,15601,1636,317,32186.26,15534.3695,0.10486507275174668,0.06627639556763537,49.00432018927445,2.0719386132794124,Email Wave 1,email,15972.0
CMP004,4839,15836,229,260,26450.77,19824.1598,0.014460722404647639,0.05373010952676173,76.24676846153847,1.3342694099953734,Display Wave 1,display,20327.0
CMP005,4788,15419,1121,275,29947.74,18149.5177,0.07270250989039496,0.05743525480367585,65.99824618181819,1.6500570701115655,Paid Search Wave 2,paid_search,18327.0
CMP006,4777,15370,526,252,24565.46,22395.8304,0.03422251138581653,0.05275277370734771,88.87234285714285,1.0968764971536844,Paid Social Wave 2,paid_social,23652.0
CMP007,4831,15763,1615,294,32090.32,14952.453899999999,0.10245511641185054,0.06085696543158766,50.858686734693876,2.1461574277115814,Email Wave 2,email,15013.0
CMP008,4766,15292,242,223,23506.91,30637.081599999998,0.01582526811404656,0.04678976080570709,137.38601614349776,0.7672698825204031,Display Wave 2,display,31644.0
CMP009,4823,15618,1096,283,29617.59,27171.828,0.07017543859649122,0.058677171884719055,96.01352650176679,1.0900109481040436,Paid Search Wave 3,paid_search,30402.0
CMP010,4779,15357,539,251,26526.35,27680.3639,0.03509800091163639,0.05252144800167399,110.2803342629482,0.9583092944814934,Paid Social Wave 3,paid_social,29657.0
CMP011,4753,15524,1608,344,35844.66,15746.3137,0.1035815511466117,0.07237534188933305,45.77416773255814,2.2763842181043303,Email Wave 3,email,17086.0
CMP012,4822,15709,236,225,22318.0,26333.451100000002,0.015023235088166019,0.046661136457901285,117.03756044444445,0.8475151971250741,Display Wave 3,display,26869.0
